journal_name,dummy,count,,,,,124
Ecology and Society,1,9,,,,,356
Ecological Economics,1,5,,,,,97
Journal of Cleaner Production,1,4,,,,,100
Journal of Industrial Ecology,1,4,,,,,"6,571"
Journal of Water Resources Planning and Management (4),1,4,,,,,"3,333"
Sustainability,1,4,,,,,"3,278"
Ecology and Society,1,48,,,,,137
PNAS,1,13,,,,,"12,325"
Sustainability,1,13,,,,,449
Ambio,1,7,,,,,"3,564"
Ecosystem Services,1,7,,,,,80
Environmental Modelling Software,1,7,,,,,"1,110"
Water Resources Research,1,7,,,,,"1,281"
Global Environmental Change: Human and Policy Dimensions,1,7,,,,,138
Sustainability,1,5,,,,,146
Ecology and Society,1,4,,,,,33089
Geografisk Tidsskrift Danish Journal Of Geography,1,4,,,,,
PNAS,1,4,,,,,
Sustainability Science,1,4,,,,,
"International Environmental Agreements: Politics, Law, and Economics",1,18,,,,,
Earth System Governance,1,9,,,,,
Ecological Economics,1,6,,,,,
Earth System Governance: World Politics in the Anthropocene,1,5,,,,,
Global Environmental Change: Human and Policy Dimensions,1,5,,,,,
Sustainability,1,355,,,,,
Ecosystem Services,1,287,,,,,
Ecological Economics,1,197,,,,,
Science of the Total Environment,1,193,,,,,
Ecological Indicators,1,185,,,,,
International Journal of Environmental Research and Public Health,1,90,,,,,
Environmental Justice,1,84,,,,,
Local Environment,1,59,,,,,
Environmental Health Perspectives,1,57,,,,,
Geoforum,1,56,,,,,
Journal of Industrial Ecology,1,979,,,,,
Journal of Cleaner Production,1,401,,,,,
Sustainability,1,201,,,,,
"Resources, Conservation & Recycling",1,135,,,,,
Ecological Economics,1,69,,,,,
Intergovernmental Platform on Biodiversity and Ecosystem Services,1,12,,,,,
Routledge Studies in Biodiversity Politics and Management,1,12,,,,,
Environmental Science & Policy,1,11,,,,,
Innovation: The European Journal of Social Science Research,1,8,,,,,
Biodiversity and Conservation,1,7,,,,,
Sustainability,1,249,,,,,
Land Use Policy,1,213,,,,,
World Development,1,185,,,,,
Ecology and Society,1,184,,,,,
Marine Policy,1,141,,,,,
Journal of Cleaner Production,1,28,,,,,
Sustainability,1,18,,,,,
Ecology and Society,1,14,,,,,
Sustainability Science,1,11,,,,,
Technological Forecasting and Social Change,1,11,,,,,
Ecology and Society,1,190,,,,,
Sustainability,1,149,,,,,
Global Environmental Change: Human and Policy Dimensions,1,62,,,,,
Ecosystem Services,1,55,,,,,
Regional Environmental Change,1,54,,,,,
Ecology and Society,1,4,,,,,
Environmental Modelling Software,1,4,,,,,
Current Opinion in Environmental Sustainability,1,3,,,,,
Ecological Economics,1,3,,,,,
PNAS,1,3,,,,,
Sustainability,1,39,,,,,
Science of the Total Environment,1,24,,,,,
Journal of Environmental Management,1,23,,,,,
Ecological Indicators,1,22,,,,,
Environmental Modelling Software,1,22,,,,,
Environmental Science & Policy,1,22,,,,,
Environmental Innovation and Societal Transition,1,101,,,,,
Sustainability,1,97,,,,,
Journal of Cleaner Production,1,94,,,,,
Energy Research Social Science,1,75,,,,,
Technological Forecasting and Social Change,1,75,,,,,
Journal of Cleaner Production,1,33,,,,,
Sustainability,1,10,,,,,
Ecological Economics,1,6,,,,,
Annual Review of Environment and Resources,1,3,,,,,
Journal of Industrial Ecology,1,3,,,,,
"Resources, Conservation & Recycling",1,3,,,,,
Sustainable Production Consumption Systems,1,3,,,,,
Ecological Economics,1,15,,,,,
Sustainability Science,1,5,,,,,
Environmental Resource Economics,1,4,,,,,
Routledge Studies in the Modern World Economy,1,4,,,,,
"Wealth, Inclusive Growth, and Sustainability",1,4,,,,,
