journal_name,frequency
Sustainability,11
Ecological Economics,7
Ecology and Society,7
Journal of Cleaner Production,5
Ecosystem Services,3
Environmental Modelling Software,3
Global Environmental Change: Human and Policy Dimensions,3
Journal of Industrial Ecology,3
PNAS,3
Sustainability Science,3
Ecological Indicators,2
Environmental Science & Policy,2
"Resources, Conservation & Recycling",2
Science of the Total Environment,2
Technological Forecasting and Social Change,2
Ambio,1
Annual Review of Environment and Resources,1
Biodiversity and Conservation,1
Current Opinion in Environmental Sustainability,1
Earth System Governance,1
Earth System Governance: World Politics in the Anthropocene,1
Energy Research Social Science,1
Environmental Health Perspectives,1
Environmental Innovation and Societal Transition,1
Environmental Justice,1
Environmental Resource Economics,1
Geoforum,1
Geografisk Tidsskrift Danish Journal Of Geography,1
Innovation: The European Journal of Social Science Research,1
Intergovernmental Platform on Biodiversity and Ecosystem Services,1
"International Environmental Agreements: Politics, Law, and Economics",1
International Journal of Environmental Research and Public Health,1
Journal of Environmental Management,1
Journal of Water Resources Planning and Management (4),1
Land Use Policy,1
Local Environment,1
Marine Policy,1
Regional Environmental Change,1
Routledge Studies in Biodiversity Politics and Management,1
Routledge Studies in the Modern World Economy,1
Sustainable Production Consumption Systems,1
Water Resources Research,1
"Wealth, Inclusive Growth, and Sustainability",1
World Development,1
