organization_name,dummy,count
Stockholm University,1,
Princeton University,1,
Oregon State University,1,
University of North Carolina,1,
Wageningen University & Research,1,
Michigan State University,1,
University of California System,1,
Chinese Academy of Sciences,1,
United States Department of Agriculture,1,
Humboldt University of Berlin,1,
Arizona State University,1,
ETH Zurich,1,
University of Copenhagen,1,
University of Guelph,1,
University of Waterloo,1,
Vrije Universiteit Amsterdam,1,
Lund University,1,
University of Oxford,1,
Australian National University,1,
Chiang Mai University,1,
Chinese Academy of Sciences,1,
Wageningen University & Research,1,
University of California System,1,
Beijing Normal University,1,
Centre National De La Recherche Scientifique,1,
University of California System,1,
State University System of Florida,1,
University of Texas System,1,
University of North Carolina,1,
Autonomous University of Barcelona,1,
Yale University,1,
Norwegian University of Science and Technology,1,
Autonomous University of Barcelona,1,
Chinese Academy of Sciences,1,
Delft University of Technology,1,
Centre National De La Recherche Scientifique,1,
Helmholtz Association,1,
Helmholtz Center For Environmental Research,1,
Wageningen University & Research,1,
Universite De Montpellier,1,
Wageningen University & Research,1,
University of London,1,
Center for International Forestry Research,1,
Indian Council of Agricultural Research,1,
University of California System,1,
University of Sussex,1,
Wageningen University & Research,1,
University of Oxford,1,
University of California System,1,
Stanford University,1,
Stockholm University,1,
University of California System,1,
United States Department of Agriculture,1,
Wageningen University & Research,1,
James Cook University,1,
Arizona State University,1,
University of California System,1,
Clark University,1,
University System of Maryland,1,
Wageningen University & Research,1,
University of California System,1,
Centre National De La Recherche Scientifique,1,
Wageningen University & Research,1,
Commonwealth Scientific Industrial Research Organisation,1,
Arizona State University,1,
University of Sussex,1,
Erasmus University Rotterdam,1,
Utrecht University,1,
Eindhoven University of Technology,1,
University of London,1,
University of Manchester,1,
University of London,1,
Wageningen University & Research,1,
Chiang Mai University,1,
Chinese Academy of Sciences,1,
Kyushu University,1,
Tohoku University,1,
Indonesian Ministry of Energy and Mineral Resources,1,
Yale University,1,
Arizona State University,1,
